Year,AccidentQuarter,Measure,ClaimType,Value
2015,201509,Ultimate Numbers (incl. nils),Accidental Damage,14496
2015,201512,Ultimate Numbers (incl. nils),Accidental Damage,17006
2016,201603,Ultimate Numbers (incl. nils),Accidental Damage,15162
2016,201606,Ultimate Numbers (incl. nils),Accidental Damage,13359
2016,201609,Ultimate Numbers (incl. nils),Accidental Damage,12388
2016,201612,Ultimate Numbers (incl. nils),Accidental Damage,13800
2017,201703,Ultimate Numbers (incl. nils),Accidental Damage,12628
2017,201706,Ultimate Numbers (incl. nils),Accidental Damage,11833
2017,201709,Ultimate Numbers (incl. nils),Accidental Damage,11848
2017,201712,Ultimate Numbers (incl. nils),Accidental Damage,13962
2018,201803,Ultimate Numbers (incl. nils),Accidental Damage,13257
2018,201806,Ultimate Numbers (incl. nils),Accidental Damage,11686
2018,201809,Ultimate Numbers (incl. nils),Accidental Damage,11503
2018,201812,Ultimate Numbers (incl. nils),Accidental Damage,13344
2019,201903,Ultimate Numbers (incl. nils),Accidental Damage,12036
2019,201906,Ultimate Numbers (incl. nils),Accidental Damage,11470
2019,201909,Ultimate Numbers (incl. nils),Accidental Damage,12007
2019,201912,Ultimate Numbers (incl. nils),Accidental Damage,14417
2020,202003,Ultimate Numbers (incl. nils),Accidental Damage,11843.23
2020,202006,Ultimate Numbers (incl. nils),Accidental Damage,4940.30659
2020,202009,Ultimate Numbers (incl. nils),Accidental Damage,9855.544240000001
2020,202012,Ultimate Numbers (incl. nils),Accidental Damage,10501.57564
2021,202103,Ultimate Numbers (incl. nils),Accidental Damage,7061.6482000000005
2021,202106,Ultimate Numbers (incl. nils),Accidental Damage,10055.67448
2021,202109,Ultimate Numbers (incl. nils),Accidental Damage,12353.35364
2021,202112,Ultimate Numbers (incl. nils),Accidental Damage,14768.44639
2022,202203,Ultimate Numbers (incl. nils),Accidental Damage,13795.238111
2022,202206,Ultimate Numbers (incl. nils),Accidental Damage,14592.697098999999
2022,202209,Ultimate Numbers (incl. nils),Accidental Damage,14973.359198
2022,202212,Ultimate Numbers (incl. nils),Accidental Damage,18268.223134
2023,202303,Ultimate Numbers (incl. nils),Accidental Damage,16305.861766
2023,202306,Ultimate Numbers (incl. nils),Accidental Damage,16361.597421
2023,202309,Ultimate Numbers (incl. nils),Accidental Damage,16667.538675
2023,202312,Ultimate Numbers (incl. nils),Accidental Damage,19628.566048
2024,202403,Ultimate Numbers (incl. nils),Accidental Damage,18032.927986
2024,202406,Ultimate Numbers (incl. nils),Accidental Damage,16419.20697
2024,202409,Ultimate Numbers (incl. nils),Accidental Damage,16426.439198
2024,202412,Ultimate Numbers (incl. nils),Accidental Damage,17151.442219
2010,201003,Ultimate Numbers (incl. nils),Fire and Theft,4290.664596
2010,201006,Ultimate Numbers (incl. nils),Fire and Theft,4100.068322
2010,201009,Ultimate Numbers (incl. nils),Fire and Theft,4097.31677
2010,201012,Ultimate Numbers (incl. nils),Fire and Theft,4814.95031
2011,201103,Ultimate Numbers (incl. nils),Fire and Theft,4200.022164
2011,201106,Ultimate Numbers (incl. nils),Fire and Theft,3845.40026
2011,201109,Ultimate Numbers (incl. nils),Fire and Theft,3885.378096
2011,201112,Ultimate Numbers (incl. nils),Fire and Theft,4676.1994780000005
2012,201203,Ultimate Numbers (incl. nils),Fire and Theft,4232.412136
2012,201206,Ultimate Numbers (incl. nils),Fire and Theft,4357.426991
2012,201209,Ultimate Numbers (incl. nils),Fire and Theft,4262.056257
2012,201212,Ultimate Numbers (incl. nils),Fire and Theft,4559.104614
2013,201303,Ultimate Numbers (incl. nils),Fire and Theft,4378.646531
2013,201306,Ultimate Numbers (incl. nils),Fire and Theft,4365.906358
2013,201309,Ultimate Numbers (incl. nils),Fire and Theft,4208.86445
2013,201312,Ultimate Numbers (incl. nils),Fire and Theft,4785.582658
2014,201403,Ultimate Numbers (incl. nils),Fire and Theft,4483.052478
2014,201406,Ultimate Numbers (incl. nils),Fire and Theft,3910.947521
2014,201409,Ultimate Numbers (incl. nils),Fire and Theft,3699.861224
2014,201412,Ultimate Numbers (incl. nils),Fire and Theft,3996.138775
2015,201503,Ultimate Numbers (incl. nils),Fire and Theft,3634.752346
2015,201506,Ultimate Numbers (incl. nils),Fire and Theft,3023.446931
2015,201509,Ultimate Numbers (incl. nils),Fire and Theft,2752.381949
2015,201512,Ultimate Numbers (incl. nils),Fire and Theft,2810.418772
2016,201603,Ultimate Numbers (incl. nils),Fire and Theft,2480.1211510000003
2016,201606,Ultimate Numbers (incl. nils),Fire and Theft,2071.097318
2016,201609,Ultimate Numbers (incl. nils),Fire and Theft,1993.910625
2016,201612,Ultimate Numbers (incl. nils),Fire and Theft,2046.870903
2017,201703,Ultimate Numbers (incl. nils),Fire and Theft,1977.64754
2017,201706,Ultimate Numbers (incl. nils),Fire and Theft,1842.5409829999999
2017,201709,Ultimate Numbers (incl. nils),Fire and Theft,1781.401639
2017,201712,Ultimate Numbers (incl. nils),Fire and Theft,1844.409836
2018,201803,Ultimate Numbers (incl. nils),Fire and Theft,1826.28534
2018,201806,Ultimate Numbers (incl. nils),Fire and Theft,1591.090968
2018,201809,Ultimate Numbers (incl. nils),Fire and Theft,1513.385471
2018,201812,Ultimate Numbers (incl. nils),Fire and Theft,1867.238219
2019,201903,Ultimate Numbers (incl. nils),Fire and Theft,1847.234657
2019,201906,Ultimate Numbers (incl. nils),Fire and Theft,1662.093862
2019,201909,Ultimate Numbers (incl. nils),Fire and Theft,1802.971119
2019,201912,Ultimate Numbers (incl. nils),Fire and Theft,1818.700361
2020,202003,Ultimate Numbers (incl. nils),Fire and Theft,1581.694887
2020,202006,Ultimate Numbers (incl. nils),Fire and Theft,675.504362
2020,202009,Ultimate Numbers (incl. nils),Fire and Theft,1187.904482
2020,202012,Ultimate Numbers (incl. nils),Fire and Theft,1196.117167
2021,202103,Ultimate Numbers (incl. nils),Fire and Theft,914.10477
2021,202106,Ultimate Numbers (incl. nils),Fire and Theft,1186.14526
2021,202109,Ultimate Numbers (incl. nils),Fire and Theft,1257.24068
2021,202112,Ultimate Numbers (incl. nils),Fire and Theft,1447.30338
2022,202203,Ultimate Numbers (incl. nils),Fire and Theft,1579.252217
2022,202206,Ultimate Numbers (incl. nils),Fire and Theft,1778.65204
2022,202209,Ultimate Numbers (incl. nils),Fire and Theft,1718.890603
2022,202212,Ultimate Numbers (incl. nils),Fire and Theft,2026.469717
2023,202303,Ultimate Numbers (incl. nils),Fire and Theft,1807.098226
2023,202306,Ultimate Numbers (incl. nils),Fire and Theft,1711.933836
2023,202309,Ultimate Numbers (incl. nils),Fire and Theft,1558.120154
2023,202312,Ultimate Numbers (incl. nils),Fire and Theft,1763.034142
2024,202403,Ultimate Numbers (incl. nils),Fire and Theft,1810.777202
2024,202406,Ultimate Numbers (incl. nils),Fire and Theft,1759.143616
2024,202409,Ultimate Numbers (incl. nils),Fire and Theft,1682.9777589999999
2024,202412,Ultimate Numbers (incl. nils),Fire and Theft,1643.784016
2010,201003,Ultimate Numbers (incl. nils),Third Party Damage,12715
2010,201006,Ultimate Numbers (incl. nils),Third Party Damage,12328
2010,201009,Ultimate Numbers (incl. nils),Third Party Damage,12585
2010,201012,Ultimate Numbers (incl. nils),Third Party Damage,14103
2011,201103,Ultimate Numbers (incl. nils),Third Party Damage,10738
2011,201106,Ultimate Numbers (incl. nils),Third Party Damage,11639
2011,201109,Ultimate Numbers (incl. nils),Third Party Damage,11872
2011,201112,Ultimate Numbers (incl. nils),Third Party Damage,13304
2012,201203,Ultimate Numbers (incl. nils),Third Party Damage,12129
2012,201206,Ultimate Numbers (incl. nils),Third Party Damage,13235
2012,201209,Ultimate Numbers (incl. nils),Third Party Damage,12823
2012,201212,Ultimate Numbers (incl. nils),Third Party Damage,13980
2013,201303,Ultimate Numbers (incl. nils),Third Party Damage,12174
2013,201306,Ultimate Numbers (incl. nils),Third Party Damage,12291
2013,201309,Ultimate Numbers (incl. nils),Third Party Damage,11857.10121
2013,201312,Ultimate Numbers (incl. nils),Third Party Damage,13802.11533
2014,201403,Ultimate Numbers (incl. nils),Third Party Damage,12262.10606
2014,201406,Ultimate Numbers (incl. nils),Third Party Damage,11828.094509999999
2014,201409,Ultimate Numbers (incl. nils),Third Party Damage,11358.08319
2014,201412,Ultimate Numbers (incl. nils),Third Party Damage,13163.09907
2015,201503,Ultimate Numbers (incl. nils),Third Party Damage,11547.07708
2015,201506,Ultimate Numbers (incl. nils),Third Party Damage,10825.06803
2015,201509,Ultimate Numbers (incl. nils),Third Party Damage,10401.06267
2015,201512,Ultimate Numbers (incl. nils),Third Party Damage,11468.06612
2016,201603,Ultimate Numbers (incl. nils),Third Party Damage,10433.05384
2016,201606,Ultimate Numbers (incl. nils),Third Party Damage,10254.050009999999
2016,201609,Ultimate Numbers (incl. nils),Third Party Damage,9763.04538
2016,201612,Ultimate Numbers (incl. nils),Third Party Damage,10401.05178
2017,201703,Ultimate Numbers (incl. nils),Third Party Damage,9714.24957
2017,201706,Ultimate Numbers (incl. nils),Third Party Damage,9487.25112
2017,201709,Ultimate Numbers (incl. nils),Third Party Damage,9852.25325
2017,201712,Ultimate Numbers (incl. nils),Third Party Damage,10949.25752
2018,201803,Ultimate Numbers (incl. nils),Third Party Damage,9911.35965
2018,201806,Ultimate Numbers (incl. nils),Third Party Damage,9928.36884
2018,201809,Ultimate Numbers (incl. nils),Third Party Damage,9541.36112
2018,201812,Ultimate Numbers (incl. nils),Third Party Damage,10718.77458
2019,201903,Ultimate Numbers (incl. nils),Third Party Damage,9492.54813
2019,201906,Ultimate Numbers (incl. nils),Third Party Damage,9699.80516
2019,201909,Ultimate Numbers (incl. nils),Third Party Damage,9944.046190000001
2019,201912,Ultimate Numbers (incl. nils),Third Party Damage,11709.43659
2020,202003,Ultimate Numbers (incl. nils),Third Party Damage,9168.573277
2020,202006,Ultimate Numbers (incl. nils),Third Party Damage,3509.596729
2020,202009,Ultimate Numbers (incl. nils),Third Party Damage,7389.961566
2020,202012,Ultimate Numbers (incl. nils),Third Party Damage,7739.812855
2021,202103,Ultimate Numbers (incl. nils),Third Party Damage,4442.7561239999995
2021,202106,Ultimate Numbers (incl. nils),Third Party Damage,7662.878226
2021,202109,Ultimate Numbers (incl. nils),Third Party Damage,9081.755318
2021,202112,Ultimate Numbers (incl. nils),Third Party Damage,10214.236895
2022,202203,Ultimate Numbers (incl. nils),Third Party Damage,9159.133249
2022,202206,Ultimate Numbers (incl. nils),Third Party Damage,10153.517959
2022,202209,Ultimate Numbers (incl. nils),Third Party Damage,10498.932821
2022,202212,Ultimate Numbers (incl. nils),Third Party Damage,12060.65614
2023,202303,Ultimate Numbers (incl. nils),Third Party Damage,10889.592814
2023,202306,Ultimate Numbers (incl. nils),Third Party Damage,11605.125145
2023,202309,Ultimate Numbers (incl. nils),Third Party Damage,11373.576806
2023,202312,Ultimate Numbers (incl. nils),Third Party Damage,12615.751421
2024,202403,Ultimate Numbers (incl. nils),Third Party Damage,12338.894167
2024,202406,Ultimate Numbers (incl. nils),Third Party Damage,12181.535118
2024,202409,Ultimate Numbers (incl. nils),Third Party Damage,11536.749316
2024,202412,Ultimate Numbers (incl. nils),Third Party Damage,11462.680142
2010,201003,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3150.7883
2010,201006,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3122.103992
2010,201009,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3153.103992
2010,201012,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3444.530176
2011,201103,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2800.34
2011,201106,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2861.28
2011,201109,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2982.92
2011,201112,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3500.26
2012,201203,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3419.568006
2012,201206,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3316.790419
2012,201209,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3194.721984
2012,201212,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3574.320786
2013,201303,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3097.36124
2013,201306,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2958.64341
2013,201309,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3027.590697
2013,201312,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3568.699224
2014,201403,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3332.860824
2014,201406,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3176.674432
2014,201409,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3100.03395
2014,201412,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3911.81972
2015,201503,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3330.683724
2015,201506,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3052.768491
2015,201509,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2940.410316
2015,201512,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3368.522036
2016,201603,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3179.218469
2016,201606,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2983.811184
2016,201609,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2841.560623
2016,201612,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3310.75764
2017,201703,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3046.240903
2017,201706,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2855.400591
2017,201709,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2792.912479
2017,201712,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3317.727136
2018,201803,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2889.168447
2018,201806,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2884.622809
2018,201809,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2639.02624
2018,201812,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3368.070304
2019,201903,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2895.315615
2019,201906,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2608.015111
2019,201909,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2886.279211
2019,201912,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3427.058218
2020,202003,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2697.150714
2020,202006,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),1016.157483
2020,202009,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2188.764608
2020,202012,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2301.74847
2021,202103,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),1312.385619
2021,202106,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2169.451433
2021,202109,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2429.399389
2021,202112,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2675.387078
2022,202203,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2455.367994
2022,202206,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2462.270099
2022,202209,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2463.41245
2022,202212,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2938.667717
2023,202303,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2632.718743
2023,202306,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2652.477935
2023,202309,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2508.439232
2023,202312,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),3195.625344
2024,202403,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2995.229322
2024,202406,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2902.21361
2024,202409,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2734.063339
2024,202412,Ultimate Numbers (incl. nils),Third Party Injury (<=250k),2808.10416
2010,201003,Ultimate Numbers (incl. nils),Third Party Injury (>250k),66.063138
2010,201006,Ultimate Numbers (incl. nils),Third Party Injury (>250k),64.094707
2010,201009,Ultimate Numbers (incl. nils),Third Party Injury (>250k),72.157845
2010,201012,Ultimate Numbers (incl. nils),Third Party Injury (>250k),71.157845
2011,201103,Ultimate Numbers (incl. nils),Third Party Injury (>250k),60.02
2011,201106,Ultimate Numbers (incl. nils),Third Party Injury (>250k),63.05
2011,201109,Ultimate Numbers (incl. nils),Third Party Injury (>250k),63.04
2011,201112,Ultimate Numbers (incl. nils),Third Party Injury (>250k),82.09
2012,201203,Ultimate Numbers (incl. nils),Third Party Injury (>250k),79.222412
2012,201206,Ultimate Numbers (incl. nils),Third Party Injury (>250k),78.11976
2012,201209,Ultimate Numbers (incl. nils),Third Party Injury (>250k),70.11976
2012,201212,Ultimate Numbers (incl. nils),Third Party Injury (>250k),86.136869
2013,201303,Ultimate Numbers (incl. nils),Third Party Injury (>250k),83.12093
2013,201306,Ultimate Numbers (incl. nils),Third Party Injury (>250k),82.28217000000001
2013,201309,Ultimate Numbers (incl. nils),Third Party Injury (>250k),80.20155
2013,201312,Ultimate Numbers (incl. nils),Third Party Injury (>250k),88.100775
2014,201403,Ultimate Numbers (incl. nils),Third Party Injury (>250k),74.077319
2014,201406,Ultimate Numbers (incl. nils),Third Party Injury (>250k),92.175783
2014,201409,Ultimate Numbers (incl. nils),Third Party Injury (>250k),85.20759
2014,201412,Ultimate Numbers (incl. nils),Third Party Injury (>250k),104.206327
2015,201503,Ultimate Numbers (incl. nils),Third Party Injury (>250k),87.147474
2015,201506,Ultimate Numbers (incl. nils),Third Party Injury (>250k),72.134819
2015,201509,Ultimate Numbers (incl. nils),Third Party Injury (>250k),69.140069
2015,201512,Ultimate Numbers (incl. nils),Third Party Injury (>250k),69.069919
2016,201603,Ultimate Numbers (incl. nils),Third Party Injury (>250k),71.10603
2016,201606,Ultimate Numbers (incl. nils),Third Party Injury (>250k),73.067648
2016,201609,Ultimate Numbers (incl. nils),Third Party Injury (>250k),71.072708
2016,201612,Ultimate Numbers (incl. nils),Third Party Injury (>250k),73.024118
2017,201703,Ultimate Numbers (incl. nils),Third Party Injury (>250k),71.228647
2017,201706,Ultimate Numbers (incl. nils),Third Party Injury (>250k),79.256922
2017,201709,Ultimate Numbers (incl. nils),Third Party Injury (>250k),81.304919
2017,201712,Ultimate Numbers (incl. nils),Third Party Injury (>250k),93.567854
2018,201803,Ultimate Numbers (incl. nils),Third Party Injury (>250k),71.253368
2018,201806,Ultimate Numbers (incl. nils),Third Party Injury (>250k),57.200919999999996
2018,201809,Ultimate Numbers (incl. nils),Third Party Injury (>250k),80.242976
2018,201812,Ultimate Numbers (incl. nils),Third Party Injury (>250k),82.800751
2019,201903,Ultimate Numbers (incl. nils),Third Party Injury (>250k),64.02709
2019,201906,Ultimate Numbers (incl. nils),Third Party Injury (>250k),65.20002
2019,201909,Ultimate Numbers (incl. nils),Third Party Injury (>250k),65.13986
2019,201912,Ultimate Numbers (incl. nils),Third Party Injury (>250k),81.566086
2020,202003,Ultimate Numbers (incl. nils),Third Party Injury (>250k),59.334571
2020,202006,Ultimate Numbers (incl. nils),Third Party Injury (>250k),34.196436
2020,202009,Ultimate Numbers (incl. nils),Third Party Injury (>250k),55.906742
2020,202012,Ultimate Numbers (incl. nils),Third Party Injury (>250k),61.480634
2021,202103,Ultimate Numbers (incl. nils),Third Party Injury (>250k),33.627051
2021,202106,Ultimate Numbers (incl. nils),Third Party Injury (>250k),41.321587
2021,202109,Ultimate Numbers (incl. nils),Third Party Injury (>250k),70.515971
2021,202112,Ultimate Numbers (incl. nils),Third Party Injury (>250k),74.649865
2022,202203,Ultimate Numbers (incl. nils),Third Party Injury (>250k),70.099399
2022,202206,Ultimate Numbers (incl. nils),Third Party Injury (>250k),66.169347
2022,202209,Ultimate Numbers (incl. nils),Third Party Injury (>250k),60.929066
2022,202212,Ultimate Numbers (incl. nils),Third Party Injury (>250k),70.225586
2023,202303,Ultimate Numbers (incl. nils),Third Party Injury (>250k),72.694354
2023,202306,Ultimate Numbers (incl. nils),Third Party Injury (>250k),68.355575
2023,202309,Ultimate Numbers (incl. nils),Third Party Injury (>250k),67.563783
2023,202312,Ultimate Numbers (incl. nils),Third Party Injury (>250k),68.471308
2024,202403,Ultimate Numbers (incl. nils),Third Party Injury (>250k),78.806455
2024,202406,Ultimate Numbers (incl. nils),Third Party Injury (>250k),64.141765
2024,202409,Ultimate Numbers (incl. nils),Third Party Injury (>250k),63.262855
2024,202412,Ultimate Numbers (incl. nils),Third Party Injury (>250k),80.67384200000001
2010,201003,Ultimate Numbers (incl. nils),Third Party Injury (Total),3216.851439
2010,201006,Ultimate Numbers (incl. nils),Third Party Injury (Total),3186.1987
2010,201009,Ultimate Numbers (incl. nils),Third Party Injury (Total),3225.261838
2010,201012,Ultimate Numbers (incl. nils),Third Party Injury (Total),3515.688022
2011,201103,Ultimate Numbers (incl. nils),Third Party Injury (Total),2860.36
2011,201106,Ultimate Numbers (incl. nils),Third Party Injury (Total),2924.33
2011,201109,Ultimate Numbers (incl. nils),Third Party Injury (Total),3045.96
2011,201112,Ultimate Numbers (incl. nils),Third Party Injury (Total),3582.35
2012,201203,Ultimate Numbers (incl. nils),Third Party Injury (Total),3498.790419
2012,201206,Ultimate Numbers (incl. nils),Third Party Injury (Total),3394.910179
2012,201209,Ultimate Numbers (incl. nils),Third Party Injury (Total),3264.841745
2012,201212,Ultimate Numbers (incl. nils),Third Party Injury (Total),3660.457656
2013,201303,Ultimate Numbers (incl. nils),Third Party Injury (Total),3180.48217
2013,201306,Ultimate Numbers (incl. nils),Third Party Injury (Total),3040.925581
2013,201309,Ultimate Numbers (incl. nils),Third Party Injury (Total),3107.7922479999997
2013,201312,Ultimate Numbers (incl. nils),Third Party Injury (Total),3656.8
2014,201403,Ultimate Numbers (incl. nils),Third Party Injury (Total),3406.938144
2014,201406,Ultimate Numbers (incl. nils),Third Party Injury (Total),3268.849875
2014,201409,Ultimate Numbers (incl. nils),Third Party Injury (Total),3185.241411
2014,201412,Ultimate Numbers (incl. nils),Third Party Injury (Total),4016.0244669999997
2015,201503,Ultimate Numbers (incl. nils),Third Party Injury (Total),3417.830409
2015,201506,Ultimate Numbers (incl. nils),Third Party Injury (Total),3124.90238
2015,201509,Ultimate Numbers (incl. nils),Third Party Injury (Total),3009.5499760000002
2015,201512,Ultimate Numbers (incl. nils),Third Party Injury (Total),3437.591406
2016,201603,Ultimate Numbers (incl. nils),Third Party Injury (Total),3250.3258690000002
2016,201606,Ultimate Numbers (incl. nils),Third Party Injury (Total),3057.880452
2016,201609,Ultimate Numbers (incl. nils),Third Party Injury (Total),2912.634071
2016,201612,Ultimate Numbers (incl. nils),Third Party Injury (Total),3383.7820580000002
2017,201703,Ultimate Numbers (incl. nils),Third Party Injury (Total),3117.46955
2017,201706,Ultimate Numbers (incl. nils),Third Party Injury (Total),2934.659683
2017,201709,Ultimate Numbers (incl. nils),Third Party Injury (Total),2874.217899
2017,201712,Ultimate Numbers (incl. nils),Third Party Injury (Total),3411.295751
2018,201803,Ultimate Numbers (incl. nils),Third Party Injury (Total),2960.422515
2018,201806,Ultimate Numbers (incl. nils),Third Party Injury (Total),2940.824271
2018,201809,Ultimate Numbers (incl. nils),Third Party Injury (Total),2719.271487
2018,201812,Ultimate Numbers (incl. nils),Third Party Injury (Total),3451.873466
2019,201903,Ultimate Numbers (incl. nils),Third Party Injury (Total),2959.343566
2019,201906,Ultimate Numbers (incl. nils),Third Party Injury (Total),2673.217192
2019,201909,Ultimate Numbers (incl. nils),Third Party Injury (Total),2951.422102
2019,201912,Ultimate Numbers (incl. nils),Third Party Injury (Total),3508.632745
2020,202003,Ultimate Numbers (incl. nils),Third Party Injury (Total),2756.488205
2020,202006,Ultimate Numbers (incl. nils),Third Party Injury (Total),1051.353919
2020,202009,Ultimate Numbers (incl. nils),Third Party Injury (Total),2243.674151
2020,202012,Ultimate Numbers (incl. nils),Third Party Injury (Total),2363.231555
2021,202103,Ultimate Numbers (incl. nils),Third Party Injury (Total),1347.01268
2021,202106,Ultimate Numbers (incl. nils),Third Party Injury (Total),2210.773022
2021,202109,Ultimate Numbers (incl. nils),Third Party Injury (Total),2499.919303
2021,202112,Ultimate Numbers (incl. nils),Third Party Injury (Total),2750.043125
2022,202203,Ultimate Numbers (incl. nils),Third Party Injury (Total),2525.475084
2022,202206,Ultimate Numbers (incl. nils),Third Party Injury (Total),2527.449017
2022,202209,Ultimate Numbers (incl. nils),Third Party Injury (Total),2524.341518
2022,202212,Ultimate Numbers (incl. nils),Third Party Injury (Total),3008.931774
2023,202303,Ultimate Numbers (incl. nils),Third Party Injury (Total),2705.413099
2023,202306,Ultimate Numbers (incl. nils),Third Party Injury (Total),2721.936541
2023,202309,Ultimate Numbers (incl. nils),Third Party Injury (Total),2578.043187
2023,202312,Ultimate Numbers (incl. nils),Third Party Injury (Total),3264.096643
2024,202403,Ultimate Numbers (incl. nils),Third Party Injury (Total),3073.02578
2024,202406,Ultimate Numbers (incl. nils),Third Party Injury (Total),2965.355388
2024,202409,Ultimate Numbers (incl. nils),Third Party Injury (Total),2797.477646
2024,202412,Ultimate Numbers (incl. nils),Third Party Injury (Total),2888.778003
2010,201003,Ultimate Numbers (incl. nils),Windscreen,26002
2010,201006,Ultimate Numbers (incl. nils),Windscreen,24494
2010,201009,Ultimate Numbers (incl. nils),Windscreen,21773
2010,201012,Ultimate Numbers (incl. nils),Windscreen,22607
2011,201103,Ultimate Numbers (incl. nils),Windscreen,23923
2011,201106,Ultimate Numbers (incl. nils),Windscreen,22111
2011,201109,Ultimate Numbers (incl. nils),Windscreen,20368
2011,201112,Ultimate Numbers (incl. nils),Windscreen,19039
2012,201203,Ultimate Numbers (incl. nils),Windscreen,18670
2012,201206,Ultimate Numbers (incl. nils),Windscreen,18879
2012,201209,Ultimate Numbers (incl. nils),Windscreen,17839
2012,201212,Ultimate Numbers (incl. nils),Windscreen,16524
2013,201303,Ultimate Numbers (incl. nils),Windscreen,18722
2013,201306,Ultimate Numbers (incl. nils),Windscreen,19374
2013,201309,Ultimate Numbers (incl. nils),Windscreen,18335
2013,201312,Ultimate Numbers (incl. nils),Windscreen,16312
2014,201403,Ultimate Numbers (incl. nils),Windscreen,18352
2014,201406,Ultimate Numbers (incl. nils),Windscreen,18598
2014,201409,Ultimate Numbers (incl. nils),Windscreen,17078
2014,201412,Ultimate Numbers (incl. nils),Windscreen,15478
2015,201503,Ultimate Numbers (incl. nils),Windscreen,17767
2015,201506,Ultimate Numbers (incl. nils),Windscreen,18041
2015,201509,Ultimate Numbers (incl. nils),Windscreen,15685
2015,201512,Ultimate Numbers (incl. nils),Windscreen,13724
2016,201603,Ultimate Numbers (incl. nils),Windscreen,17232
2016,201606,Ultimate Numbers (incl. nils),Windscreen,17654
2016,201609,Ultimate Numbers (incl. nils),Windscreen,15192
2016,201612,Ultimate Numbers (incl. nils),Windscreen,13403
2017,201703,Ultimate Numbers (incl. nils),Windscreen,14571
2017,201706,Ultimate Numbers (incl. nils),Windscreen,16073
2017,201709,Ultimate Numbers (incl. nils),Windscreen,14738
2017,201712,Ultimate Numbers (incl. nils),Windscreen,13527
2018,201803,Ultimate Numbers (incl. nils),Windscreen,17273
2018,201806,Ultimate Numbers (incl. nils),Windscreen,19402
2018,201809,Ultimate Numbers (incl. nils),Windscreen,15678
2018,201812,Ultimate Numbers (incl. nils),Windscreen,13376
2019,201903,Ultimate Numbers (incl. nils),Windscreen,14897
2019,201906,Ultimate Numbers (incl. nils),Windscreen,16359
